Crop,Symptom1,Disease,Image
Sugarcane,Whiteflies ,Sugarcane Whiteflies,https://cdn.shopify.com/s/files/1/0762/3639/0696/files/DALL_E_2025-03-19_16.05.46_-_A_highly_detailed_realistic_image_of_a_sugarcane_whitefly_on_a_sugarcane_leaf._The_whitefly_is_small_with_a_pale_white_body_and_delicate_wings_sitt_1.webp?v=1742382074
Sugarcane,Leaf hopper,Sugarcane Leaf hopper,https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_17__11zon.webp?v=1742382113
Sugarcane,Mealybugs ,Sugarcane Mealybugs,https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Sugarcane, Borer ,Sugarcane Early Shoot Borer,https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_22__11zon.webp?v=1742382555
Sugarcane,Brownish-red discoloration inside,Sugarcane Mits,https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_23__11zon.webp?v=1742382742
Sugarcane,Splitting the cane reveals reddish areas interspersed with white patches,Sugarcane Red Rot,https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_21__11zon.webp?v=1742382555
Sugarcane,"plants are shorter, weaker, and their upper leaves turn yellow",Sugarcane Wilt Disease,https://cdn.shopify.com/s/files/1/0762/3639/0696/files/sugarcane-wilt_11zon.webp?v=1742382114
Sugarcane,Black or gray whip-like structures.,Sugarcane smut disease,https://cdn.shopify.com/s/files/1/0762/3639/0696/files/8cf48ba4cecc32cc932085e060891e9a_11zon.webp?v=1742382113
Sugarcane,Small yellowish spots (1-4 mm) appear on both sides of sugarcane leaves,Sugarcane rust disease,https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_19__11zon.webp?v=1742382554
Sugarcane,Infected plants show abnormal tiller growth and yellow or white leaves,Sugarcane Grassy Shoot Disease,https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_20__11zon.webp?v=1742382554
Wheat,diseased ears come out of the boot,Loose Smut,https://agritech.tnau.ac.in/crop_protection/images/wheat_diseases/Loose_Smut_head.jpg
Wheat,"elongated, reddish-brown pustules, primarily on stem, followed by leaf sheaths, lamina and floral parts",Black Rust or Stem Rust of Wheat,https://upload.wikimedia.org/wikipedia/commons/6/66/Stem_rust_close_up.jpg
Wheat,"long streaks appear first on leaves and then on leaf sheaths, stalk and glumes",Yellow Rust or Stripe Rust of Wheat,https://i0.wp.com/compass.rauias.com/wp-content/uploads/2024/01/image-91.png
Wheat,"Round or oblong, orange coloured pustules are irregularly distributed on leaves",Brown Rust or Orange Rust of Wheat,https://cropprotectionnetwork.org/image?s=%2Fimg%2Fhttp%2Fgeneral%2FWheat-Rust-Leaf-rust-2-Craig-Grau-and-University-of-Wisconsin-Teaching-Images-1643389957.jpg%2F5865be7c20b585c52f1c1b3d87c00c5a.jpg&h=256&w=316&fit=cover
Cotton,Brown or gray spots on leaves surrounded by a red halo,Asochyta blight Asochyta gossypii,https://plantvillage-production-new.s3.amazonaws.com/image/2048/file/default-fa199c56bd29778b885d02f8f3deccb9.jpg
Cotton,Circular red lesions on leaves which enlarge and turn white or gray in the center,Cercospora leaf spot Cercospora gossypina,https://plantvillage-production-new.s3.amazonaws.com/image/2050/file/default-97764cccd3bee88588dc0b6847f873f8.jpg
Cotton, Initially the appearance of small chocolate brown spots which later enlarge to become circular to irregular spot with target markings.,Target spot Corynespora cassiicola,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.lsuagcenter.com%2Fprofiles%2Flbenedict%2Farticles%2Fpage1476125612532&psig=AOvVaw1DTCW1253zIrdLL1LMYG35&ust=1744023273506000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCJiF45afw4wDFQAAAAAdAAAAABAJ
Cotton,"Water-soaked spots on leaves which are delimited by leaf veins, giving them an angular appearance",Bacterial blight/angular leaf spot of cotton,https://plantvillage-production-new.s3.amazonaws.com/image/98578/file/default-4dda5d681ecd18055c5f1dffbc010dfb.jpg
Cotton,Small soft bodied insects on underside of leaves and/or stems of plant,Aphids (Cotton aphid),https://plantvillage-production-new.s3.amazonaws.com/image/98425/file/default-9cdc6e90ffc21d8598ad60cbc8cacb9f.jpg
Cotton,older larvae may be yellow-green to almost black in color with fine white lines along their body and black spots at the base of hairs,Cotton bollworm ,https://plantvillage-production-new.s3.amazonaws.com/image/98573/file/default-9a20a4355607f0b2c3d77ccedb0f9e89.jpg
Maize,Small oval or elongated water-soaked spots which enlarge up to 15 mm long appear on leaves,Anthracnose,https://plantvillage-production-new.s3.amazonaws.com/image/1127/file/default-3b37328c847ac64fafc1d461170512df.jpg
Maize,Brown Spots with yellow rings throughout the leaf during the growing period of the Cassava,Cercospora leaf spot (Gray leaf spot),https://plantvillage-production-new.s3.amazonaws.com/image/67255/file/default-a1e407c1e5ab564c74da870b58352372.jpg
Maize,Oval or elongated cinnamon brown pustules on upper and lower surfaces of leaves,Common rust ,https://plantvillage-production-new.s3.amazonaws.com/image/67267/file/default-df95642c56bfd060eefad936c44c51b2.jpg
Maize,Tumor-like galls on plant tissues which are initially green-white or silvery white in color,"Common smut (Boil smut, Blister smut)",https://plantvillage-production-new.s3.amazonaws.com/image/1133/file/default-9b7cf5beffefa5af84a1740fe5ae54c6.jpg
Maize,"In older plants the leaves shows mottling, chlorotic streaking and lesions and white striped leaves.",Downy Mildew disease ,https://plantvillage-production-new.s3.amazonaws.com/image/62230/file/default-da2f512d284e60d5fc777a8f15cb2f88.jpg
Maize,Gray or yellow stripes with irregular margins on leaf surfaces,Goss's bacterial blight ,https://plantvillage-production-new.s3.amazonaws.com/image/72823/file/default-7153b835b4dae643de2237fd2538e7cb.jpg
Grapes,white powdery growth on fruit,Powdery mildew,https://plantvillage-production-new.s3.amazonaws.com/image/666/file/default-178634691dd82cea2f6496f737e60774.jpg
Grapes, Initially lesions are dull red to brown in color turn black later.,Leaf blight,https://www.google.com/imgres?q=leaf%20blight%20of%20grapes&imgurl=https%3A%2F%2Fbugwoodcloud.org%2Fimages%2F768x512%2F5405317.jpg&imgrefurl=https%3A%2F%2Fwww.invasive.org%2Fcollections%2Fviewcollection.cfm%3Fser%3D72222&docid=QCnm69LlSiQ_AM&tbnid=etwi8uUI5sha7M&vet=12ahUKEwjr__X5psOMAxWbxzgGHW8wFp0QM3oECGUQAA..i&w=767&h=575&hcb=2&ved=2ahUKEwjr__X5psOMAxWbxzgGHW8wFp0QM3oECGUQAA
Grapes," grapes harden and turn black, while still remaining on the vine",Black rot ,https://www.google.com/imgres?q=Black%20rot%20%20of%20grapes&imgurl=https%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2F2%2F28%2FGuignardia_bidwellii_04.jpg&imgrefurl=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FBlack_rot_(grape_disease)&docid=NUunYWcTNq3ClM&tbnid=4rV2AT08Gm2y5M&vet=12ahUKEwjF8oOwp8OMAxXLhlYBHcRaFmIQM3oECBcQAA..i&w=638&h=921&hcb=2&ved=2ahUKEwjF8oOwp8OMAxXLhlYBHcRaFmIQM3oECBcQAA
Grapes,wilting and yellowing of canopy,Crown gall,https://www.google.com/imgres?q=Crown%20gallof%20grapes&imgurl=https%3A%2F%2Famericanvineyardmagazine.com%2Fwp-content%2Fuploads%2Fsites%2F14%2F2020%2F08%2F13-researchersg.jpg&imgrefurl=https%3A%2F%2Famericanvineyardmagazine.com%2Fcrown-gall-in-missouri-vineyards%2F&docid=z0-qbkyJaHlA0M&tbnid=xHznmaNb2mdb2M&vet=12ahUKEwiy8sXXp8OMAxUwjVYBHY6yM8kQM3oECFgQAA..i&w=1080&h=720&hcb=2&ved=2ahUKEwiy8sXXp8OMAxUwjVYBHY6yM8kQM3oECFgQAA
Grapes,dry leaves with leaf death in concentric rings,Pierce's disease,https://plantvillage-production-new.s3.amazonaws.com/image/656/file/default-75d71b30005b0276be36cad31294fa05.jpg
Grapes,"Feeding damage to stems, leaves, buds and/or flowers",Black vine weevil,https://plantvillage-production-new.s3.amazonaws.com/image/672/file/default-02ab52df613c771d47289d8bfbbb6559.jpg
Pomegranate,Light brown spots on leaves and fruit which enlarge and coalesce to form large black patches on fruit,Cercospora fruit spot ,https://plantvillage-production-new.s3.amazonaws.com/image/99518/file/default-f6badd008622bc87fa02733cf9d5160f.jpg
Pomegranate,"Both adults and nymphs suck sap from growing shoots, flowers and young fruit. ",Aphids ,https://plantvillage-production-new.s3.amazonaws.com/image/99714/file/default-34f548fbcc8549b4c1187f0686b92029.jpg
Pomegranate,Both adult and nymphs feeds by penetrating their mouth parts to the thick skin of the pomegranate fruit to the arils resulting in withering of stung arils.,Mealy bug,https://plantvillage-production-new.s3.amazonaws.com/image/99534/file/default-21d5ee30aeef7c11e180ea48c674e8d4.jpg
Pomegranate,The female butterfly lay eggs on tender leaves. After hatching the larvae feeds on fruit by boring hole. The damaged fruit rots and emits a foul smell.,Mites,https://plantvillage-production-new.s3.amazonaws.com/image/99528/file/default-4b7cd7b5ae4b503499e57e58e39ddb63.jpg
mango,Orange rusty spots on both upper and lower leaf surfaces which may coalesce to form large irregularly shaped patches,Algal leaf spot,https://plantvillage-production-new.s3.amazonaws.com/image/62834/file/default-8091a8ae57483372530f8aced38858ca.jpg
