crop_name,disease_name,symptoms,recommended_fertilizers,recommended_insecticides,image_url
Wheat,Leaf Blight,Stunted growth,"Potassium, Nitrogen","Chlorantraniliprole, Carbaryl",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_23__11zon.webp?v=1742382742
Wheat,Rust,Yellowing leaves,"Potassium, Sulfur","Cypermethrin, Chlorantraniliprole",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_23__11zon.webp?v=1742382742
Wheat,Powdery Mildew,Leaf curling,"Nitrogen, Sulfur","Cypermethrin, Permethrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Wheat,Downy Mildew,Yellowing leaves,"Calcium, Nitrogen","Carbaryl, Chlorantraniliprole",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Wheat,Root Rot,Yellowing leaves,"Potassium, Calcium","Cypermethrin, Malathion",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Wheat,Wilt,Stunted growth,"Phosphorous, Calcium","Chlorantraniliprole, Malathion",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Wheat,Anthracnose,Necrotic areas,"Potassium, Calcium","Malathion, Cypermethrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_22__11zon.webp?v=1742382555
Wheat,Smut,Stunted growth,"Sulfur, Magnesium","Permethrin, Cypermethrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Wheat,Scab,Wilting,"Calcium, Magnesium","Chlorantraniliprole, Carbaryl",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_22__11zon.webp?v=1742382555
Wheat,Mosaic Virus,Wilting,"Potassium, Nitrogen","Chlorantraniliprole, Thiamethoxam",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Rice,Leaf Blight,Stunted growth,"Phosphorous, Potassium","Carbaryl, Thiamethoxam",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Rice,Rust,Leaf curling,"Magnesium, Sulfur","Acetamiprid, Imidacloprid",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
