Crop Name,Demand Month,Importing Country,Export Quantity (Tonnes)
Basmati Rice,January,Saudi Arabia,85000
Basmati Rice,February,United Arab Emirates,92000
Basmati Rice,March,Iraq,78000
Basmati Rice,April,Kuwait,65000
Basmati Rice,May,Yemen,45000
Basmati Rice,June,Oman,52000
Non-Basmati Rice,July,South Africa,125000
Non-Basmati Rice,August,Nepal,110000
Non-Basmati Rice,September,Bangladesh,98000
Non-Basmati Rice,October,Malaysia,75000
Non-Basmati Rice,November,Iran,68000
Non-Basmati Rice,December,Sri Lanka,82000
Wheat,January,Bangladesh,95000
Wheat,February,Nepal,87000
Wheat,March,Sri Lanka,65000
Wheat,April,Afghanistan,72000
Wheat,May,United Arab Emirates,58000
Wheat,June,Oman,49000
Maize,July,Bangladesh,55000
Maize,August,Vietnam,48000
Maize,September,Malaysia,42000
Maize,October,Nepal,37000
Maize,November,Sri Lanka,31000
Maize,December,Bhutan,25000
Sugar,January,Afghanistan,68000
Sugar,February,Sudan,52000
Sugar,March,Sri Lanka,45000
Sugar,April,Egypt,57000
Sugar,May,Iran,63000
Sugar,June,Yemen,41000
Cotton,January,China,145000
Cotton,February,Bangladesh,92000
Cotton,March,Vietnam,78000
Cotton,April,Pakistan,65000
Cotton,May,Turkey,58000
Cotton,June,Indonesia,52000
Mango,April,United States,32000
Mango,May,Saudi Arabia,28000
Mango,June,United Arab Emirates,24000
Mango,July,Oman,19000
Mango,August,Kuwait,15000
Mango,September,Qatar,12000
Banana,January,Iran,18000
Banana,February,Oman,15000
Banana,March,Saudi Arabia,17000
Banana,April,United Arab Emirates,19000
Banana,May,Qatar,14000
Banana,June,Bahrain,11000
Grapes,January,United Kingdom,22000
Grapes,February,Netherlands,24000
Grapes,March,Germany,21000
Grapes,April,Russia,19000
Grapes,May,France,17000
Grapes,June,Canada,15000
Onion,January,Bangladesh,75000
Onion,February,Sri Lanka,68000
Onion,March,Malaysia,52000
Onion,April,United Arab Emirates,45000
Onion,May,Nepal,38000
Onion,June,Bhutan,29000
Potato,January,Nepal,42000
Potato,February,Bhutan,35000
Potato,March,Sri Lanka,39000
Potato,April,Bangladesh,45000
Potato,May,Oman,31000
Potato,June,Qatar,26000
Tea,January,Russia,48000
Tea,February,Iran,52000
Tea,March,United Arab Emirates,45000
Tea,April,Kazakhstan,38000
Tea,May,United Kingdom,41000
Tea,June,Germany,36000
Coffee,January,Italy,28000
Coffee,February,Germany,31000
Coffee,March,Russia,25000
Coffee,April,Belgium,22000
Coffee,May,Spain,19000
Coffee,June,United States,24000
Spices,January,United States,45000
Spices,February,United Arab Emirates,52000
Spices,March,Sri Lanka,38000
Spices,April,Bangladesh,42000
Spices,May,Pakistan,36000
Spices,June,Nepal,29000
Groundnut,January,Indonesia,25000
Groundnut,February,Vietnam,22000
Groundnut,March,Philippines,19000
Groundnut,April,Malaysia,17000
Groundnut,May,Thailand,15000
Groundnut,June,Sri Lanka,13000
Soybean,January,Bangladesh,32000
Soybean,February,Vietnam,28000
Soybean,March,Thailand,24000
Soybean,April,Nepal,19000
Soybean,May,Bhutan,15000
Soybean,June,Sri Lanka,18000
Sunflower Oil,January,Iran,42000
Sunflower Oil,February,Turkey,38000
Sunflower Oil,March,Saudi Arabia,35000
Sunflower Oil,April,United Arab Emirates,31000
Sunflower Oil,May,Iraq,29000
Sunflower Oil,June,Yemen,23000
Mustard Seed,January,Bangladesh,28000
Mustard Seed,February,Nepal,24000
Mustard Seed,March,Sri Lanka,21000
Mustard Seed,April,Bhutan,18000
Mustard Seed,May,United Arab Emirates,15000
Mustard Seed,June,Oman,12000
Pulses,January,Turkey,35000
Pulses,February,Egypt,31000
Pulses,March,China,39000
Pulses,April,Algeria,28000
Pulses,May,Sri Lanka,23000
Pulses,June,Bangladesh,26000
